"Date","Open","High","Low","Close"
"03 Dec 2012","5878.25","5899.15","5854.6","5870.90"
"04 Dec 2012","5866.8","5894.95","5859","5889.20"
"05 Dec 2012","5906.6","5917.8","5891.35","5900.50"
"06 Dec 2012","5926.3","5942.55","5838.9","5930.90"
"07 Dec 2012","5934","5949.85","5888.65","5907.40"
"10 Dec 2012","5916.05","5919.95","5888.1","5908.90"
"11 Dec 2012","5923.8","5965.15","5865.45","5898.80"
"12 Dec 2012","5917.8","5924.6","5874.25","5888.00"
"13 Dec 2012","5900.35","5907.45","5841.35","5851.50"
"14 Dec 2012","5846.9","5886.1","5839.15","5879.60"
"17 Dec 2012","5860.5","5886.05","5850.15","5857.90"
"18 Dec 2012","5873.6","5905.8","5823.15","5896.80"
"19 Dec 2012","5917.3","5939.4","5910.8","5929.60"
"20 Dec 2012","5934.45","5937.6","5881.45","5916.40"
"21 Dec 2012","5888","5888","5841.65","5847.70"
"24 Dec 2012","5869","5871.9","5844.7","5855.70"
"26 Dec 2012","5864.95","5917.3","5859.55","5905.60"
"27 Dec 2012","5930.2","5930.8","5864.7","5870.10"
"28 Dec 2012","5887.15","5915.75","5879.5","5908.30"
"31 Dec 2012","5901.2","5919","5897.15","5905.10"
"01 Jan 2013","5937.65","5963.9","5935.2","5950.80"
"02 Jan 2013","5982.6","6006.05","5982","5993.20"
"03 Jan 2013","6015.8","6017","5986.55","6009.50"
"04 Jan 2013","6011.95","6020.75","5981.55","6016.10"
"07 Jan 2013","6042.15","6042.15","5977.15","5988.40"
"08 Jan 2013","5983.45","6007.05","5964.4","6001.70"
"09 Jan 2013","6006.2","6020.1","5958.45","5971.50"
"10 Jan 2013","5998.8","6005.15","5947.3","5968.60"
"11 Jan 2013","6012.4","6018.85","5940.6","5951.30"
"14 Jan 2013","5967.2","6036.9","5962.15","6024.00"
"15 Jan 2013","6037.85","6068.5","6018.6","6056.60"
"16 Jan 2013","6049","6055.95","5992.05","6001.80"
